Bank Name,city,stalp,zip,RepDte,Reporting Year,Employees,Total Assets(000),CashBalance(000),Total Liabilities/Capital (000),Liabilities(000),Deposits
ALDEN STATE BANK,Alden,NY,14004,9/30/2019,2019,61,346446,13345,346446,302318,297176
ALDEN STATE BANK,Alden,NY,14004,9/30/2020,2020,61,402829,56557,402829,355448,354228
ALDEN STATE BANK,Alden,NY,14004,9/30/2021,2021,65,470474,80283,470474,419774,418531
ALGONQUIN STATE BANK,Algonquin,IL,60102,9/30/2019,2019,25,133860,11010,133860,117945,117254
ALGONQUIN STATE BANK,Algonquin,IL,60102,9/30/2020,2020,24,150641,12080,150641,133604,129200
ALGONQUIN STATE BANK,Algonquin,IL,60102,9/30/2021,2021,24,157383,12446,157383,140344,139880
ALLIANCE COMMUNITY BANK,Petersburg,IL,62675,9/30/2019,2019,60,272421,9915,272421,235436,233520
ALLIANCE COMMUNITY BANK,Petersburg,IL,62675,9/30/2020,2020,56,299250,26015,299250,260088,256200
ALLIANCE COMMUNITY BANK,Petersburg,IL,62675,9/30/2021,2021,57,333263,29981,333263,294877,291842
"ALLIED FIRST BANK,SB",Oswego,IL,60543,9/30/2019,2019,254,103594,21704,103594,91239,90621
"ALLIED FIRST BANK,SB",Oswego,IL,60543,9/30/2020,2020,330,142020,13620,142020,125248,107269
"ALLIED FIRST BANK,SB",Oswego,IL,60543,9/30/2021,2021,382,161890,70738,161890,139305,132451
ALMA BANK,Astoria,NY,11102,9/30/2019,2019,164,1190423,88732,1190423,1068612,999286
ALMA BANK,Astoria,NY,11102,9/30/2020,2020,161,1228001,101572,1228001,1102414,1058853
ALMA BANK,Astoria,NY,11102,9/30/2021,2021,151,1326013,186086,1326013,1195446,1171231
ALPINE CAPITAL BANK,New York,NY,10019,9/30/2019,2019,20,257994,106755,257994,206456,204291
ALPINE CAPITAL BANK,New York,NY,10019,9/30/2020,2020,19,249459,67548,249459,196733,194366
ALPINE CAPITAL BANK,New York,NY,10019,9/30/2021,2021,20,306421,163858,306421,251205,248589
ALTAPACIFIC BANK,Santa Rosa,CA,95403,9/30/2019,2019,55,419614,21628,419614,359744,297155
AMALGAMATED BANK,New York,NY,10001,9/30/2019,2019,380,5030941,75345,5030941,4544629,4326485
AMALGAMATED BANK,New York,NY,10001,9/30/2020,2020,350,6626229,745496,6626229,6103732,6023434
AMALGAMATED BANK,New York,NY,10001,9/30/2021,2021,355,6866385,691352,6866385,6311674,6227280
AMALGAMATED BANK OF CHICAGO,Chicago,IL,60602,9/30/2019,2019,178,891140,210711,891140,805716,786006
AMALGAMATED BANK OF CHICAGO,Chicago,IL,60602,9/30/2020,2020,176,915824,222389,915824,825647,801840
AMALGAMATED BANK OF CHICAGO,Chicago,IL,60602,9/30/2021,2021,155,1013379,306919,1013379,923709,894178
AMERASIA BANK,Flushing,NY,11355,9/30/2019,2019,81,680866,76601,680866,597754,583335
AMERASIA BANK,Flushing,NY,11355,9/30/2020,2020,80,719123,59020,719124,625983,611111
AMERASIA BANK,Flushing,NY,11355,9/30/2021,2021,84,863915,174728,863915,759330,738282
AMERICAN BUSINESS BANK,Los Angeles,CA,90017,9/30/2019,2019,195,2331644,114288,2331644,2130576,2099318
AMERICAN BUSINESS BANK,Los Angeles,CA,90071,9/30/2020,2020,193,3321380,134446,3321380,3085391,3048568
AMERICAN BUSINESS BANK,Los Angeles,CA,90071,9/30/2021,2021,202,3902852,378410,3902852,3629328,3590892
"AMERICAN COMMERCIAL BANK & TRUST, NATIONAL ASSOCIATION",Ottawa,IL,61350,9/30/2021,2021,135,993267,83710,993267,905190,870734
AMERICAN COMMUNITY BANK,Glen Cove,NY,11542,9/30/2019,2019,37,225139,29663,225139,197388,191471
AMERICAN COMMUNITY BANK,Glen Cove,NY,11542,9/30/2020,2020,38,238636,9519,238636,209758,198309
AMERICAN COMMUNITY BANK,Glen Cove,NY,11542,9/30/2021,2021,35,255238,48243,255238,223967,218209
AMERICAN COMMUNITY BANK & TRUST,Woodstock,IL,60098,9/30/2019,2019,61,580848,87102,580848,505184,502323
AMERICAN COMMUNITY BANK & TRUST,Woodstock,IL,60098,9/30/2020,2020,61,786025,59620,786025,708234,685489
AMERICAN COMMUNITY BANK & TRUST,Woodstock,IL,60098,9/30/2021,2021,69,861402,151776,861402,773200,766337
AMERICAN CONTINENTAL BANK,City Of Industry,CA,91748,9/30/2019,2019,41,268311,23480,268311,233409,232130
AMERICAN CONTINENTAL BANK,City Of Industry,CA,91748,9/30/2020,2020,40,299231,61099,299231,262561,241394
AMERICAN CONTINENTAL BANK,City Of Industry,CA,91748,9/30/2021,2021,42,329488,93278,329488,289006,276892
AMERICAN EAGLE BANK,South Elgin,IL,60177,9/30/2019,2019,27,274254,42661,274254,252421,245882
AMERICAN EAGLE BANK,South Elgin,IL,60177,9/30/2020,2020,21,256806,17142,256806,233458,223869
AMERICAN EAGLE BANK,South Elgin,IL,60177,9/30/2021,2021,28,357777,66697,357777,325971,315748
AMERICAN EAGLE BANK OF CHICAGO,Chicago,IL,60647,9/30/2019,2019,8,97208,12679,97208,87265,86169
AMERICAN EAGLE BANK OF CHICAGO,Chicago,IL,60647,9/30/2020,2020,6,87543,17775,87543,77994,73220
AMERICAN METRO BANK,Chicago,IL,60640,9/30/2019,2019,19,81415,13730,81415,72667,67119
AMERICAN METRO BANK,Chicago,IL,60640,9/30/2020,2020,15,85914,23505,85914,76709,67323
AMERICAN METRO BANK,Chicago,IL,60640,9/30/2021,2021,16,88081,24836,88081,78236,67924
"AMERICAN PLUS BANK, N.A.",Arcadia,CA,91007,9/30/2019,2019,44,565881,14874,565881,486410,477394
"AMERICAN PLUS BANK, N.A.",Arcadia,CA,91007,9/30/2020,2020,45,576256,19860,576256,490014,472199
"AMERICAN PLUS BANK, N.A.",Arcadia,CA,91007,9/30/2021,2021,44,584019,15147,584019,486338,481990
AMERICAN RIVER BANK,Sacramento,CA,95815,9/30/2019,2019,104,721743,29489,721742,638248,612957
AMERICAN RIVER BANK,Sacramento,CA,95815,9/30/2020,2020,101,858463,73351,858463,766122,728925
AMERICAN RIVIERA BANK,Santa Barbara,CA,93101,9/30/2019,2019,112,697342,79101,697343,622801,603276
AMERICAN RIVIERA BANK,Santa Barbara,CA,93101,9/30/2020,2020,117,930169,106335,930169,848068,828805
AMERICAN RIVIERA BANK,Santa Barbara,CA,93101,9/30/2021,2021,116,1218275,262964,1218275,1124456,1115678
ANCHOR STATE BANK,Anchor,IL,61720,9/30/2019,2019,3,16259,3780,16259,14333,14251
ANCHOR STATE BANK,Anchor,IL,61720,9/30/2020,2020,4,25690,4048,25690,20964,14530
ANCHOR STATE BANK,Anchor,IL,61720,9/30/2021,2021,6,31463,2966,31463,26525,21527
ANDERSON STATE BANK,Oneida,IL,61467,9/30/2019,2019,8,89610,21575,89610,75820,75608
ANDERSON STATE BANK,Oneida,IL,61467,9/30/2020,2020,8,97381,23189,97380,82241,82031
ANDERSON STATE BANK,Oneida,IL,61467,9/30/2021,2021,8,105211,18225,105211,89799,89625
ANNA STATE BANK,Anna,IL,62906,9/30/2019,2019,19,83705,8478,83705,70482,70353
ANNA STATE BANK,Anna,IL,62906,9/30/2020,2020,18,95599,7053,95599,82040,81958
ANNA STATE BANK,Anna,IL,62906,9/30/2021,2021,18,106462,5442,106462,92606,92535
APPLE BANK FOR SAVINGS,Manhasset,NY,11030,9/30/2019,2019,1117,15107686,613795,15107686,13786597,13175882
APPLE BANK FOR SAVINGS,New York,NY,10168,9/30/2020,2020,1232,16332133,1075074,16332133,14925690,14675353
APPLE BANK FOR SAVINGS,New York,NY,10168,9/30/2021,2021,1302,16123164,704205,16123164,14719878,14140051
APPLE RIVER STATE BANK,Apple River,IL,61001,9/30/2019,2019,56,360488,43144,360488,322590,298211
APPLE RIVER STATE BANK,Apple River,IL,61001,9/30/2020,2020,58,448152,62314,448151,403529,359245
APPLE RIVER STATE BANK,Apple River,IL,61001,9/30/2021,2021,61,526209,72472,526209,477747,427013
ARCOLA FIRST BANK,Arcola,IL,61910,9/30/2019,2019,16,111005,5785,111005,97796,95645
ARCOLA FIRST BANK,Arcola,IL,61910,9/30/2020,2020,16,119365,2207,119365,104041,98795
ARCOLA FIRST BANK,Arcola,IL,61910,9/30/2021,2021,16,130151,9417,130151,116059,113705
ASIAN PACIFIC NATIONAL BANK,San Gabriel,CA,91776,9/30/2019,2019,13,55888,12598,55888,46101,45825
ASIAN PACIFIC NATIONAL BANK,San Gabriel,CA,91776,9/30/2020,2020,13,58573,28053,58573,48599,48442
ASIAN PACIFIC NATIONAL BANK,San Gabriel,CA,91776,9/30/2021,2021,11,57398,21423,57398,47305,47249
ATHOL SAVINGS BANK,Athol,MA,1331,9/30/2019,2019,92,448485,12863,448485,388411,375923
ATHOL SAVINGS BANK,Athol,MA,1331,9/30/2020,2020,79,506772,48918,506772,444112,432981
ATHOL SAVINGS BANK,Athol,MA,1331,9/30/2021,2021,81,539880,41331,539880,473012,468865
AVIDBANK,San Jose,CA,95112,9/30/2019,2019,107,1112372,114829,1112372,996017,894490
AVIDBANK,San Jose,CA,95112,9/30/2020,2020,126,1441008,348652,1441008,1308479,1280356
AVIDBANK,San Jose,CA,95112,9/30/2021,2021,126,1824852,413244,1824852,1675585,1651948
AVIDIA BANK,Hudson,MA,1749,9/30/2019,2019,243,1659926,66277,1659926,1486798,1414733
AVIDIA BANK,Hudson,MA,1749,9/30/2020,2020,247,2005233,95298,2005233,1817055,1764877
AVIDIA BANK,Hudson,MA,1749,9/30/2021,2021,256,2316345,230364,2316345,2115461,2062787
AXOS BANK,San Diego,CA,92122,9/30/2019,2019,1021,10877719,564963,10877719,9842923,9254495
AXOS BANK,San Diego,CA,92122,9/30/2020,2020,962,12426062,891769,12426063,11276535,10755592
AXOS BANK,San Diego,CA,92122,9/30/2021,2021,1003,13471668,966300,13471668,12124972,11825657
BAC COMMUNITY BANK,Stockton,CA,95202,9/30/2019,2019,107,644987,34631,644987,575824,569704
BAC COMMUNITY BANK,Stockton,CA,95202,9/30/2020,2020,113,755920,30812,755920,679419,662739
BAC COMMUNITY BANK,Stockton,CA,95202,9/30/2021,2021,112,809920,49953,809920,732073,724727
BALBOA THRIFT AND LOAN ASSOCIATION,Chula Vista,CA,91910,9/30/2019,2019,86,324998,21816,324998,284443,283471
BALBOA THRIFT AND LOAN ASSOCIATION,Chula Vista,CA,91910,9/30/2020,2020,88,331663,28562,331663,288243,287040
BALBOA THRIFT AND LOAN ASSOCIATION,Chula Vista,CA,91910,9/30/2021,2021,89,320343,35178,320343,272078,271334
BALLSTON SPA NATIONAL BANK,Ballston Spa,NY,12020,9/30/2019,2019,120,577165,24644,577165,526318,504959
BALLSTON SPA NATIONAL BANK,Ballston Spa,NY,12020,9/30/2020,2020,116,667311,72120,667311,611932,587910
BALLSTON SPA NATIONAL BANK,Ballston Spa,NY,12020,9/30/2021,2021,119,760631,132745,760631,701109,681116
"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",Santa Ana,CA,92707,9/30/2019,2019,693,8598754,526874,8598754,7618753,5856734
"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",Santa Ana,CA,92707,9/30/2020,2020,613,7725308,292490,7725308,6741988,6085896
"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",Santa Ana,CA,92707,9/30/2021,2021,598,8272546,185840,8272546,7243280,6598009
BANK & TRUST COMPANY,Litchfield,IL,62056,9/30/2019,2019,87,341286,9678,341286,305089,288033
BANK & TRUST COMPANY,Litchfield,IL,62056,9/30/2020,2020,85,397134,18490,397134,357293,333808
BANK & TRUST COMPANY,Litchfield,IL,62056,9/30/2021,2021,82,414054,16727,414054,371748,346666
BANK HAPOALIM B.M.,New York,NY,10036,9/30/2019,2019,800,6931671,2377672,6931671,6931671,2858951
BANK HAPOALIM B.M.,New York,NY,10036,9/30/2020,2020,456,7712438,2807420,7712438,7712438,3383785
BANK HAPOALIM B.M.,New York,NY,10036,9/30/2021,2021,880,9122658,3374365,9122658,9122658,4130765
BANK LEUMI USA,New York,NY,10017,9/30/2019,2019,457,6808523,154029,6808523,5962622,5494271
BANK LEUMI USA,New York,NY,10017,9/30/2020,2020,466,7351872,235586,7351872,6499940,6183056
BANK LEUMI USA,New York,NY,10017,9/30/2021,2021,478,7970895,407722,7970895,7074373,6770733
BANK OF AKRON,Akron,NY,14001,9/30/2019,2019,76,388877,25885,388877,350458,339733
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",San Francisco,CA,94104,9/30/2019,2019,1300,13363000,3019000,13363000,11382000,10828000
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",San Francisco,CA,94104,9/30/2020,2020,1305,22254000,14284000,22254000,20170000,19621000
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",San Francisco,CA,94104,9/30/2021,2021,1360,26632000,12838000,26632000,24440000,24164000
BANK OF BARODA,New York,NY,10016,9/30/2019,2019,1101,10857592,3329031,10857592,10857592,5264805
BANK OF BARODA,New York,NY,10016,9/30/2020,2020,1132,12433259,6209027,12433259,12433259,5603890
BANK OF BARODA,New York,NY,10016,9/30/2021,2021,1350,10520020,5434730,10520020,10520020,3838945
BANK OF BELLEVILLE,Belleville,IL,62220,9/30/2019,2019,39,225988,33808,225988,207950,192919
BANK OF BELLEVILLE,Belleville,IL,62220,9/30/2020,2020,42,299301,24646,299301,277834,223571
BANK OF BELLEVILLE,Belleville,IL,62220,9/30/2021,2021,56,337418,31905,337418,309850,285269
BANK OF BLUFFS,Bluffs,IL,62621,9/30/2019,2019,14,54384,4774,54384,46215,46183
BANK OF BLUFFS,Bluffs,IL,62621,9/30/2020,2020,15,59532,8579,59532,51031,46984
BANK OF BLUFFS,Bluffs,IL,62621,9/30/2021,2021,13,61246,6620,61246,52829,52776
BANK OF CALHOUN COUNTY,Hardin,IL,62047,9/30/2019,2019,14,66805,15626,66805,60087,59726
BANK OF CALHOUN COUNTY,Hardin,IL,62047,9/30/2020,2020,14,72427,23056,72427,65446,63859
BANK OF CALHOUN COUNTY,Hardin,IL,62047,9/30/2021,2021,14,80059,28494,80059,73043,72690
BANK OF CATTARAUGUS,Cattaraugus,NY,14719,9/30/2019,2019,9,23927,5274,23927,21878,21852
BANK OF CATTARAUGUS,Cattaraugus,NY,14719,9/30/2020,2020,9,25255,5205,25255,23088,23065
BANK OF CATTARAUGUS,Cattaraugus,NY,14719,9/30/2021,2021,8,28220,8514,28220,25957,25932
BANK OF CHESTNUT,Chestnut,IL,62518,9/30/2019,2019,5,18068,1280,18068,16258,16195
BANK OF CHESTNUT,Chestnut,IL,62518,9/30/2020,2020,5,18449,1100,18449,16612,16539
BANK OF CHESTNUT,Chestnut,IL,62518,9/30/2021,2021,6,20605,599,20605,18778,18511
BANK OF CHINA,New York,NY,10018,9/30/2019,2019,310000,43589352,22122799,43589352,43589352,19114117
BANK OF CHINA,New York,NY,10018,9/30/2020,2020,311000,51877638,27893161,51877638,51877638,23144796
BANK OF CHINA,New York,NY,10018,9/30/2021,2021,315000,42829037,21828831,42829037,42829037,21763226
BANK OF EASTON,North Easton,MA,2356,9/30/2019,2019,17,154172,28390,154172,136396,127728
BANK OF EASTON,North Easton,MA,2356,9/30/2020,2020,18,175577,39405,175577,156093,152999
BANK OF EASTON,North Easton,MA,2356,9/30/2021,2021,17,184488,35146,184488,164507,161458
BANK OF FARMINGTON,Farmington,IL,61531,9/30/2019,2019,39,180428,16498,180428,159261,157623
BANK OF FARMINGTON,Farmington,IL,61531,9/30/2020,2020,37,198218,12163,198218,176022,165135
BANK OF FARMINGTON,Farmington,IL,61531,9/30/2021,2021,39,217482,23105,217482,194507,185080
BANK OF FEATHER RIVER,Yuba City,CA,95991,9/30/2019,2019,25,135667,15472,135667,120828,105819
BANK OF FEATHER RIVER,Yuba City,CA,95991,9/30/2020,2020,25,184409,21319,184409,167673,150532
BANK OF GIBSON CITY,Gibson City,IL,60936,9/30/2019,2019,13,86279,14249,86279,75846,68285
BANK OF GIBSON CITY,Gibson City,IL,60936,9/30/2020,2020,15,105373,17448,105373,94068,76510
BANK OF GIBSON CITY,Gibson City,IL,60936,9/30/2021,2021,17,124764,30599,124764,112047,96811
"BANK OF HILLSBORO, NATIONAL ASSOCIATION",Hillsboro,IL,62049,9/30/2019,2019,96,360656,16308,360656,319580,318601
"BANK OF HILLSBORO, NATIONAL ASSOCIATION",Hillsboro,IL,62049,9/30/2020,2020,97,442376,19041,442376,396240,391071
"BANK OF HILLSBORO, NATIONAL ASSOCIATION",Hillsboro,IL,62049,9/30/2021,2021,101,514699,10905,514699,466268,465563
BANK OF HOLLAND,Holland,NY,14080,9/30/2019,2019,30,143962,4812,143962,132517,132102
BANK OF HOLLAND,Holland,NY,14080,9/30/2020,2020,30,165946,5498,165946,152971,152300
BANK OF HOLLAND,Holland,NY,14080,9/30/2021,2021,34,192060,6540,192060,177616,176978
BANK OF HOPE,Los Angeles,CA,90010,9/30/2019,2019,1452,15380225,606780,15380225,13073982,12255855
BANK OF HOPE,Los Angeles,CA,90010,9/30/2020,2020,1436,16731681,724673,16731681,14410207,14029082
BANK OF HOPE,Los Angeles,CA,90010,9/30/2021,2021,1461,17793623,698910,17793623,15431104,15087270
BANK OF INDIA,New York,NY,10017,9/30/2019,2019,200,3982412,1664815,3982412,3982412,3247804
BANK OF INDIA,New York,NY,10017,9/30/2020,2020,369,4468278,2915416,4468278,4468278,2018117
BANK OF INDIA,New York,NY,10017,9/30/2021,2021,780,4451922,2563212,4451922,4451922,1726518
BANK OF KAMPSVILLE,Kampsville,IL,62053,9/30/2019,2019,25,108963,7282,108963,89483,89084
BANK OF KAMPSVILLE,Kampsville,IL,62053,9/30/2020,2020,25,117331,14047,117331,96705,96213
BANK OF KAMPSVILLE,Kampsville,IL,62053,9/30/2021,2021,24,125977,29793,125977,105190,104883
BANK OF MARIN,Novato,CA,94947,9/30/2019,2019,291,2592052,182486,2592052,2270651,2238949
BANK OF MARIN,Novato,CA,94947,9/30/2020,2020,291,2975150,213584,2975150,2627004,2581524
BANK OF MARIN,Novato,CA,94947,9/30/2021,2021,348,4259898,584739,4259898,3817843,3743994
BANK OF MILLBROOK,Millbrook,NY,12545,9/30/2019,2019,46,229443,33594,229443,203867,202740
BANK OF MILLBROOK,Millbrook,NY,12545,9/30/2020,2020,42,273429,63449,273429,246983,245359
BANK OF MILLBROOK,Millbrook,NY,12545,9/30/2021,2021,41,320086,63363,320086,294729,293027
BANK OF MONTGOMERY,Montgomery,IL,60538,9/30/2019,2019,6,40872,14857,40872,36922,36861
BANK OF MONTGOMERY,Montgomery,IL,60538,9/30/2020,2020,4,42982,14060,42982,38685,38634
BANK OF MONTGOMERY,Montgomery,IL,60538,9/30/2021,2021,3,47774,15951,47774,43669,43632
BANK OF O'FALLON,O'fallon,IL,62269,9/30/2019,2019,32,311657,46285,311657,267293,266402
BANK OF O'FALLON,O'fallon,IL,62269,9/30/2020,2020,31,341000,58959,341000,294929,290049
BANK OF O'FALLON,O'fallon,IL,62269,9/30/2021,2021,34,370199,78559,370199,323015,322105
BANK OF PONTIAC,Pontiac,IL,61764,9/30/2019,2019,95,559629,36282,559629,484137,473913
BANK OF PONTIAC,Pontiac,IL,61764,9/30/2020,2020,90,620601,71970,620601,541255,525525
BANK OF PONTIAC,Pontiac,IL,61764,9/30/2021,2021,117,907690,140429,907690,803013,776698
BANK OF RANTOUL,Rantoul,IL,61866,9/30/2019,2019,37,231029,11062,231029,204284,194107
BANK OF RANTOUL,Rantoul,IL,61866,9/30/2020,2020,35,248602,17564,248602,219320,197023
BANK OF RANTOUL,Rantoul,IL,61866,9/30/2021,2021,34,256986,12419,256986,228060,206161
BANK OF RICHMONDVILLE,Cobleskill,NY,12043,9/30/2019,2019,34,152944,26682,152944,136192,135291
BANK OF RICHMONDVILLE,Cobleskill,NY,12043,9/30/2020,2020,34,164441,27120,164441,146414,145743
BANK OF RICHMONDVILLE,Cobleskill,NY,12043,9/30/2021,2021,33,182108,39357,182108,164793,163469
BANK OF SAN FRANCISCO,San Francisco,CA,94105,9/30/2019,2019,41,361068,47588,361068,321335,317791
BANK OF SAN FRANCISCO,San Francisco,CA,94105,9/30/2020,2020,46,662421,129475,662421,618353,515812
BANK OF SAN FRANCISCO,San Francisco,CA,94105,9/30/2021,2021,47,627679,117500,627679,574699,549303
BANK OF SANTA CLARITA,Santa Clarita,CA,91355,9/30/2019,2019,25,316633,55836,316633,280442,244244
BANK OF SANTA CLARITA,Santa Clarita,CA,91355,9/30/2020,2020,26,391976,74011,391976,352097,293559
BANK OF SANTA CLARITA,Santa Clarita,CA,91355,9/30/2021,2021,21,423942,113160,423942,379698,340122
"BANK OF SOUTHERN CALIFORNIA, N.A.",San Diego,CA,92130,9/30/2019,2019,96,839060,55761,839060,731660,692899
"BANK OF SOUTHERN CALIFORNIA, N.A.",San Diego,CA,92130,9/30/2020,2020,118,1575329,108069,1575329,1430897,1142113
"BANK OF SOUTHERN CALIFORNIA, N.A.",San Diego,CA,92130,9/30/2021,2021,195,1783357,408347,1783357,1588727,1569321
BANK OF SPRINGFIELD,Springfield,IL,62711,9/30/2019,2019,276,1055036,87794,1055036,957780,892324
BANK OF SPRINGFIELD,Springfield,IL,62711,9/30/2020,2020,296,1246518,134633,1246518,1142052,1039188
BANK OF SPRINGFIELD,Springfield,IL,62711,9/30/2021,2021,306,1426343,316678,1426343,1315750,1234656
BANK OF STOCKTON,Stockton,CA,95202,9/30/2019,2019,387,3312484,235306,3312484,2731762,2563701
BANK OF STOCKTON,Stockton,CA,95202,9/30/2020,2020,402,3850180,433120,3850180,3249336,3102635
BANK OF STOCKTON,Stockton,CA,95202,9/30/2021,2021,397,4584707,651957,4584707,3928875,3778028
BANK OF STRONGHURST,Stronghurst,IL,61480,9/30/2019,2019,18,74219,2736,74219,61088,60979
BANK OF STRONGHURST,Stronghurst,IL,61480,9/30/2020,2020,18,80324,2453,80324,66692,66403
BANK OF STRONGHURST,Stronghurst,IL,61480,9/30/2021,2021,19,88704,1528,88704,75482,72432
BANK OF THE ORIENT,San Francisco,CA,94104,9/30/2019,2019,147,927282,109007,927282,828594,799522
BANK OF THE ORIENT,San Francisco,CA,94104,9/30/2020,2020,122,931663,161153,931663,831155,789695
BANK OF THE ORIENT,San Francisco,CA,94104,9/30/2021,2021,106,932525,187179,932525,825296,787197
BANK OF THE SIERRA,Porterville,CA,93257,9/30/2019,2019,519,2635728,80646,2635727,2306165,2204867
BANK OF THE SIERRA,Porterville,CA,93257,9/30/2020,2020,491,3199559,88933,3199559,2840140,2603565
BANK OF THE SIERRA,Porterville,CA,93257,9/30/2021,2021,482,3443274,422350,3443274,3047249,2874329
BANK OF THE WEST,San Francisco,CA,94104,9/30/2019,2019,9683,91025838,3564223,91025838,78134165,69776526
BANK OF THE WEST,San Francisco,CA,94104,9/30/2020,2020,9413,96304549,5122340,96304549,82429586,78652372
BANK OF THE WEST,San Francisco,CA,94104,9/30/2021,2021,8900,105411908,17578659,105411908,91699524,89340272
BANK OF UTICA,Utica,NY,13502,9/30/2019,2019,42,1135120,13234,1135120,899471,885814
BANK OF UTICA,Utica,NY,13502,9/30/2020,2020,43,1297520,38051,1297520,1049465,1034269
BANK OF UTICA,Utica,NY,13502,9/30/2021,2021,42,1497293,80371,1497293,1212870,1190452
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Whittier,CA,90609,9/30/2019,2019,20,71979,39791,71979,61114,60421
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Whittier,CA,90603,9/30/2020,2020,24,107488,63002,107488,91512,90696
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Whittier,CA,90603,9/30/2021,2021,26,170482,126895,170482,150787,149767
BANK OF YATES CITY,Yates City,IL,61572,9/30/2019,2019,15,70725,2220,70725,64243,60417
BANK OF YATES CITY,Yates City,IL,61572,9/30/2020,2020,15,71131,2762,71131,64531,62781
BANK OF YATES CITY,Yates City,IL,61572,9/30/2021,2021,15,74844,1739,74844,67691,66640
"BANKCHAMPAIGN, NATIONAL ASSOCIATION",Champaign,IL,61820,9/30/2019,2019,40,224718,12021,224718,201771,189215
"BANKCHAMPAIGN, NATIONAL ASSOCIATION",Champaign,IL,61820,9/30/2020,2020,37,260213,38317,260213,235710,214389
"BANKCHAMPAIGN, NATIONAL ASSOCIATION",Champaign,IL,61820,9/30/2021,2021,37,254141,43133,254141,228960,210659
